Tm,Salary,Wins
GSW,136649719,58
OKC,131851601,48
WAS,122845816,43
CHO,117316719,36
POR,115475979,49
NOP,115099087,48
HOU,114937559,65
TOR,113878156,59
SAS,113237104,47
CLE,112158802,50
BOS,109908134,55
MIN,109545781,47
MIA,101630423,44
MEM,100854860,22
NYK,99010039,29
DEN,98921851,46
UTA,97387649,48
ORL,96472442,25
MIL,95632476,44
IND,91911839,48
PHI,88983591,52
LAC,84368935,42
LAL,82635086,35
DET,80217476,39
DAL,79165326,24
BRK,77863201,28
ATL,68745928,24
SAC,65324062,27
PHO,57013596,21
CHI,52729766,27
